f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8
4.941624854766795139e+00,3.624984501739749021e+01,1.000000000000000000e+00,1.967318356439480098e+01,6.971117461594474207e+00,1.000000019915917591e+02,8.000005155584242189e+00,4.984225634839041241e+00,1.343543702981092380e+00,5.000000037359426415e+02,9.799999406396815438e-01
5.102257583552429310e+00,3.174185365681535724e-08,1.000000000000000000e+00,1.997200971977205342e+01,7.210120621797545759e+00,1.000000471870369552e+02,1.399982676393430481e+01,4.991918266516931268e+00,2.383807226254199385e+00,5.000004764034127902e+02,9.799989925981542616e-01
4.943043553302176818e+00,3.540878081500576258e+01,1.000000000000000000e+00,1.967337405178513521e+01,6.971117360801301288e+00,1.000000242249599012e+02,8.070499564472703113e+00,5.008687011799900723e+00,4.046023878133845564e+00,5.000002156869535952e+02,9.799997302672422972e-01
5.038426275044293412e+00,1.604727326116092145e+00,1.000000000000000000e+00,1.967411933024758852e+01,6.971554019323689566e+00,1.000000677213265590e+02,1.283553627388955931e+01,5.027437571631746316e+00,2.249664451388603825e-01,5.000001353724047704e+02,9.799995616585264191e-01
4.981916574363570938e+00,1.614663342673117441e+01,1.000000000000000000e+00,1.967372000391097586e+01,6.971147312720531453e+00,1.000035152242320748e+02,1.001288856059449017e+01,4.983020911418146071e+00,1.575979019572585349e+00,5.000000455119360367e+02,9.799998930537209274e-01
4.973526044574597904e+00,1.968413458122621762e+01,1.000000000000000000e+00,1.967337688616166957e+01,6.971639200460221453e+00,1.000002055614027228e+02,9.591472389067071447e+00,5.019476237168555954e+00,1.244592929029542328e+00,5.000001398055842969e+02,9.799991859319917564e-01
4.944975549111170210e+00,3.431354294235187297e+01,1.000000000000000000e+00,1.967358975646988029e+01,6.971622608964743506e+00,1.000001307286936338e+02,8.163510259572282379e+00,4.936036444378210319e+00,3.515132432502725557e+00,5.000006501570514388e+02,9.799995253896492953e-01
4.955826433326579128e+00,2.844448658832152432e+01,1.000000000000000000e+00,1.968321159454410108e+01,6.971169160299741208e+00,1.000003252797687452e+02,8.689634996795025046e+00,5.027500294805347103e+00,1.109205215897764774e+00,5.000001424262808314e+02,9.799995684540609986e-01
5.081806431953584280e+00,9.503664032240849435e-02,1.000000000000000000e+00,2.030558216228894253e+01,6.971010936012531189e+00,1.000000958379745839e+02,1.374487356726764453e+01,4.946797994941305454e+00,5.922568594189234759e-01,5.000000731143033477e+02,9.799988203358700467e-01
4.979214674982900490e+00,1.727818965095064030e+01,1.000000000000000000e+00,1.967451127904777763e+01,6.971630314894667890e+00,1.000035152242320748e+02,9.873286873952514142e+00,4.983020911418146071e+00,1.575979019572585349e+00,5.000001198228297881e+02,9.799995292272056790e-01
4.948237525972392525e+00,3.243490234150024065e+01,1.000000000000000000e+00,1.967357817336289827e+01,6.971629478531268909e+00,1.000000467679554674e+02,8.326731449669594554e+00,4.985767899346102539e+00,1.803008013528069498e+00,5.000001627919170915e+02,9.799999125192452309e-01
4.964530034297798267e+00,2.401236275109969043e+01,1.000000000000000000e+00,1.968321159454410108e+01,6.971176601680808993e+00,1.000003252797687452e+02,9.124770394272141871e+00,4.986773550757081175e+00,1.109390921735658786e+00,5.000001424262808314e+02,9.799995683197278984e-01
4.946764334674536912e+00,3.331109212903396610e+01,1.000000000000000000e+00,1.967357405616455424e+01,6.971629478531268909e+00,1.000003032280972803e+02,8.250029248835108575e+00,4.983752726865087190e+00,5.224293105729116427e-01,5.000001627919170915e+02,9.798549705935513110e-01
5.004367330816038795e+00,8.522062311715153271e+00,1.000000000000000000e+00,1.967422730763318484e+01,6.973074509581701719e+00,1.000000507186032763e+02,1.112325770064788166e+01,4.961307286392393934e+00,3.044841505720708330e+00,5.000001138910764666e+02,9.799995635225580148e-01
5.030290770673492950e+00,2.715482396170688428e+00,1.000000000000000000e+00,1.967335991868313627e+01,6.971676476890120711e+00,1.000004796949590400e+02,1.242948718622382032e+01,4.908806242630181060e+00,2.230116097018746579e+00,5.000001445672633622e+02,9.799993623067244641e-01
4.972237225754406076e+00,2.022858715234133342e+01,1.000000000000000000e+00,1.967313403015578643e+01,6.971116936280461474e+00,1.000037471973688383e+02,9.530251344455615836e+00,4.984545857327507434e+00,2.000257142277207745e+00,5.000000330585990014e+02,9.799999838824055010e-01
5.076193569389359617e+00,9.625861622123162153e-02,1.000000000000000000e+00,1.998592318042106086e+01,6.988256595050666320e+00,1.000000251741076909e+02,1.399982676393430481e+01,4.995592942603018116e+00,1.890886248963572935e+00,5.000010697990772996e+02,9.799984675618107488e-01
