f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8,x9
5.923441254433061687e+00,3.473699103653152959e-02,1.000000000000000000e+00,7.806108187210707428e+00,1.810841298479069295e+01,1.000085666618826679e+02,1.400012205811625776e+01,5.017099858320049677e+00,8.759045608743280198e+00,5.000000372499774244e+02,9.799998573885206898e-01,1.018637858283168640e+01
5.803405560161794874e+00,3.603433172756835035e+01,1.000000000000000000e+00,7.805782759704720242e+00,1.810841453617065255e+01,1.000002001872314565e+02,8.000036844458930929e+00,4.848827494429218454e+00,1.214856657008057539e+01,5.000000003850188364e+02,9.799999979719851151e-01,1.018647750458972112e+01
5.818260031277040945e+00,2.767807253633024445e+01,1.000000000000000000e+00,7.805982173347761233e+00,1.810842442108538464e+01,1.000000309521283270e+02,8.742307481092954191e+00,4.968729289928663029e+00,1.464714188256331440e+01,5.000000573680008529e+02,9.799999167703554726e-01,1.018639182642790075e+01
5.904648521804265471e+00,9.142122297612478299e-01,1.000000000000000000e+00,7.805776927623305106e+00,1.810841296892341745e+01,1.000000126036456152e+02,1.306221581945865751e+01,4.969200483934034018e+00,1.536332808690459473e+01,5.000000485901976504e+02,9.799999225122314472e-01,1.018647536161018863e+01
5.918593706185688141e+00,9.296710570166064058e-02,1.000000000000000000e+00,7.805980426826760521e+00,1.810842484160408716e+01,1.000010059575890153e+02,1.375869107236564837e+01,4.939347743732927398e+00,9.189005538514722460e+00,5.000001177384075390e+02,9.799920340733337953e-01,1.018637893428609331e+01
5.840030768687749507e+00,1.741910535395387782e+01,1.000000000000000000e+00,7.806010478842250855e+00,1.810841353814575783e+01,1.000003133762670444e+02,9.830543678385032180e+00,4.893856765589925217e+00,1.350547042728288361e+01,5.000000280788483451e+02,9.799864051315395619e-01,1.018638491381777023e+01
5.882608828326699069e+00,4.197371733360018453e+00,1.000000000000000000e+00,7.805986096174700961e+00,1.810841401832024289e+01,1.000001468704288357e+02,1.195975063110252279e+01,4.969566450970560822e+00,1.664898736828000736e+01,5.000002034520389884e+02,9.799999041596737515e-01,1.018642490733124717e+01
5.842082462454929015e+00,1.657289105346008640e+01,1.000000000000000000e+00,7.805783812603822369e+00,1.810842493101894490e+01,1.000011751303256204e+02,9.933292042064540084e+00,4.972973072721565302e+00,1.387422117191934134e+01,5.000000231149179513e+02,9.799808915802676879e-01,1.018648709961948562e+01
5.900940245818437013e+00,1.296466232647480066e+00,1.000000000000000000e+00,7.805776182393483253e+00,1.810841294293668113e+01,1.000001789590257175e+02,1.287675039912889297e+01,4.946340029574397334e+00,1.014583999020412541e+01,5.000000786913253137e+02,9.799987245246634116e-01,1.018648476289064142e+01
5.885889624975764178e+00,3.555061624696813638e+00,1.000000000000000000e+00,7.805986912319486493e+00,1.810841414490229440e+01,1.000003462638240563e+02,1.212376317310903318e+01,4.969566450970560822e+00,9.816003999341770481e+00,5.000002034520389884e+02,9.799999053846385477e-01,1.018653952427013998e+01
5.870040721619081303e+00,7.154063191351752948e+00,1.000000000000000000e+00,7.805778420272528884e+00,1.810841454998159250e+01,1.000002007244498401e+02,1.133180036598892926e+01,4.939586927917665626e+00,8.487194738603978550e+00,5.000000107719647531e+02,9.799999747569916320e-01,1.018647762443505300e+01
5.849046698425787838e+00,1.386293100925800914e+01,1.000000000000000000e+00,7.805986476689597886e+00,1.810842529290757597e+01,1.000001393921171626e+02,1.028138070156155770e+01,4.961485981634488063e+00,1.450257917452554324e+01,5.000009124787704309e+02,9.799990059922989438e-01,1.018655166185053318e+01
5.831531481469002465e+00,2.113848325763601466e+01,1.000000000000000000e+00,7.805790781747329987e+00,1.810843711443977710e+01,1.000001763138249657e+02,9.406122464245582293e+00,4.970706653727272162e+00,1.035880765212005450e+01,5.000002163631831991e+02,9.799996175812989430e-01,1.018647370894293402e+01
5.855312469699216038e+00,1.162975418620698775e+01,1.000000000000000000e+00,7.805799923807380303e+00,1.810841276337697536e+01,1.000002551504760220e+02,1.059485966022748471e+01,4.918646320163663432e+00,1.040786641469419926e+01,5.000000335082482934e+02,9.799767655610641670e-01,1.018647641314897356e+01
5.836474797354800792e+00,1.893483048468328533e+01,1.000000000000000000e+00,7.806168493954396936e+00,1.810843785607154288e+01,1.000001784920876986e+02,9.652580377532601119e+00,4.962145102365296268e+00,1.412548081168662328e+01,5.000000343775299143e+02,9.799999426319593310e-01,1.018647549669783814e+01
5.827619502630074777e+00,2.298109515251426416e+01,1.000000000000000000e+00,7.806003349207072617e+00,1.810841276337697536e+01,1.000002551504760220e+02,9.209770991775409144e+00,4.918646320163663432e+00,1.088246587663095433e+01,5.000000335082482934e+02,9.799751586892188060e-01,1.018655080079677155e+01
5.846611629596846882e+00,1.478487403593721439e+01,1.000000000000000000e+00,7.805995932938698090e+00,1.810843724412151445e+01,1.000001438007051746e+02,1.015941792258444387e+01,4.961632003014550207e+00,1.039183921841354952e+01,5.000014165313420449e+02,9.799993827790840495e-01,1.018655653987900145e+01
5.848018132757428766e+00,1.424665959551214200e+01,1.000000000000000000e+00,7.806003529431813526e+00,1.810842542306517089e+01,1.000002813814802494e+02,1.023013442115152394e+01,5.097481743214231642e+00,1.682401450855659775e+01,5.000000188459898141e+02,9.799995452519328909e-01,1.018647550221298737e+01
5.809854429800279441e+00,3.227851977015338036e+01,1.000000000000000000e+00,7.806180707118524964e+00,1.810841608946229542e+01,1.000000953552531087e+02,8.321642266952460787e+00,4.960920846791323058e+00,1.394397477375866501e+01,5.000001509770434041e+02,9.799995993656009929e-01,1.018647580457685820e+01
